Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
VIV.PA,Vivendi,PA,EUR,1.98,1.60,-19.48%
GDDY.US,GoDaddy Inc,US,USD,99.33,82.74,-16.70%
CTVA.US,Corteva Inc,US,USD,89.34,78.71,-11.90%
DNZOY.US,Denso (ADR),US,USD,13.86,12.24,-11.69%
DSNKY.US,Daiichi Sankyo (ADR),US,USD,18.23,16.14,-11.46%
FMC.US,FMC Corp,US,USD,11.83,10.71,-9.47%
AAPL.US,Apple Inc,US,USD,333.43,308.91,-7.35%
EIX.US,Edison International,US,USD,78.73,73.37,-6.81%
NXPI.US,NXP Semiconductors,US,USD,245.16,229.16,-6.53%
SYK.US,Stryker Corp,US,USD,348.04,325.70,-6.42%
TROW.US,T. Rowe Price,US,USD,119.28,111.75,-6.31%
TW.LSE,Taylor Wimpey,LSE,GBX,83.04,78.00,-6.07%
LIN.US,Linde plc,US,USD,508.64,478.38,-5.95%
MU.US,Micron Technology,US,USD,874.66,823.03,-5.90%
ANA.MC,Acciona,MC,EUR,252.20,238.60,-5.39%
IP.US,International Paper,US,USD,43.15,40.83,-5.38%
MRNA.US,Moderna Inc,US,USD,57.92,54.82,-5.35%
SVNDY.US,Seven & i (ADR),US,USD,13.86,13.13,-5.27%
LYV.US,Live Nation,US,USD,183.56,174.13,-5.14%
RNECY.US,Renesas (ADR),US,USD,10.77,10.22,-5.11%
