Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
RTO.LSE,Rentokil Initial,LSE,GBX,443.30,352.00,-20.60%
FICO.US,Fair Isaac Corp,US,USD,1373.08,1139.54,-17.01%
CHRW.US,C.H. Robinson,US,USD,173.75,146.92,-15.44%
LKQ.US,LKQ Corp,US,USD,26.39,22.60,-14.36%
ADS.XETRA,Adidas AG,XETRA,EUR,182.25,161.25,-11.52%
NCLH.US,Norwegian Cruise Line,US,USD,20.75,18.72,-9.78%
MO.US,Altria Group,US,USD,74.92,67.94,-9.32%
SAN.PA,Sanofi,PA,EUR,79.92,72.77,-8.95%
LHX.US,L3Harris Technologies,US,USD,297.53,271.90,-8.61%
META.US,Meta Platforms Inc,US,USD,585.61,539.03,-7.95%
IT.US,Gartner Inc,US,USD,165.65,152.92,-7.68%
FLTR.LSE,Flutter Entertainment,LSE,GBX,8212.00,7588.00,-7.60%
ATO.PA,Atos,PA,EUR,33.62,31.20,-7.20%
WKL.AS,Wolters Kluwer,AS,EUR,74.10,68.78,-7.18%
WPP.LSE,WPP plc,LSE,GBX,322.00,299.70,-6.93%
REL.LSE,RELX plc,LSE,GBX,2874.00,2675.00,-6.92%
FDS.US,FactSet Research,US,USD,282.04,263.03,-6.74%
RMV.LSE,Rightmove,LSE,GBX,487.90,456.80,-6.37%
VRSK.US,Verisk Analytics,US,USD,213.15,200.35,-6.01%
VTR.US,Ventas Inc,US,USD,97.72,91.92,-5.94%
ADBE.US,Adobe Inc,US,USD,263.43,247.90,-5.90%
EFX.US,Equifax Inc,US,USD,187.05,176.13,-5.84%
ACN.US,Accenture plc,US,USD,173.17,163.29,-5.71%
GDDY.US,GoDaddy Inc,US,USD,105.10,99.33,-5.49%
HPQ.US,HP Inc,US,USD,28.41,26.86,-5.46%
SGE.LSE,Sage Group,LSE,GBX,1022.00,967.40,-5.34%
BRO.US,Brown & Brown,US,USD,74.87,70.87,-5.34%
INTU.US,Intuit Inc,US,USD,333.13,315.50,-5.29%
MLM.US,Martin Marietta,US,USD,569.66,540.00,-5.21%
ESS.US,Essex Property Trust,US,USD,296.80,281.86,-5.03%
