Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
GLW.US,Corning Inc,US,USD,143.36,126.01,-12.10%
MRAAY.US,Murata (ADR),US,USD,24.24,21.79,-10.11%
TOELY.US,Tokyo Electron (ADR),US,USD,184.50,165.90,-10.08%
CARR.US,Carrier Global,US,USD,69.33,63.16,-8.90%
MU.US,Micron Technology,US,USD,900.20,820.53,-8.85%
STX.US,Seagate Technology,US,USD,816.99,747.30,-8.53%
RNECY.US,Renesas (ADR),US,USD,11.55,10.59,-8.31%
AMD.US,Advanced Micro Devices,US,USD,494.95,454.62,-8.15%
AMAT.US,Applied Materials,US,USD,516.89,476.46,-7.82%
SMCAY.US,SMC Corp (ADR),US,USD,21.80,20.15,-7.57%
LRCX.US,Lam Research,US,USD,291.61,269.61,-7.54%
ENR.XETRA,Siemens Energy,XETRA,EUR,148.38,137.90,-7.06%
WDC.US,Western Digital,US,USD,497.92,463.51,-6.91%
UPS.US,United Parcel Service,US,USD,112.95,105.53,-6.57%
NRG.US,NRG Energy,US,USD,136.50,127.56,-6.55%
TXT.US,Textron Inc,US,USD,96.13,89.96,-6.42%
KLAC.US,KLA Corp,US,USD,203.36,190.80,-6.18%
IFX.XETRA,Infineon Technologies,XETRA,EUR,61.49,57.77,-6.05%
INTC.US,Intel Corp,US,USD,91.67,86.30,-5.86%
ATEYY.US,Advantest (ADR),US,USD,165.14,155.48,-5.85%
HPE.US,Hewlett Packard Enterprise,US,USD,48.19,45.59,-5.40%
VST.US,Vistra Corp,US,USD,157.08,148.64,-5.37%
GEV.US,GE Vernova,US,USD,996.57,943.38,-5.34%
ON.US,ON Semiconductor,US,USD,89.04,84.39,-5.22%
PWR.US,Quanta Services,US,USD,620.28,588.36,-5.15%
