Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
APTV.US,Aptiv plc,US,USD,57.23,47.72,-16.62%
NRG.US,NRG Energy,US,USD,138.47,117.04,-15.48%
ZAL.XETRA,Zalando SE,XETRA,EUR,29.11,25.22,-13.36%
CMG.US,Chipotle Mexican Grill,US,USD,37.46,33.82,-9.72%
VST.US,Vistra Corp,US,USD,155.94,143.23,-8.15%
ARE.US,Alexandria Real Estate,US,USD,53.03,48.87,-7.84%
FME.XETRA,Fresenius Medical Care,XETRA,EUR,44.86,41.46,-7.58%
ROK.US,Rockwell Automation,US,USD,480.98,445.23,-7.43%
ANA.MC,Acciona,MC,EUR,231.20,214.60,-7.18%
SN.LSE,Smith & Nephew,LSE,GBX,1197.00,1122.00,-6.27%
GWW.US,W.W. Grainger,US,USD,1371.25,1300.45,-5.16%
