Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
PODD.US,Insulet Corp,US,USD,166.82,133.26,-20.12%
DVA.US,DaVita Inc,US,USD,227.99,188.69,-17.24%
CDW.US,CDW Corp,US,USD,154.00,140.10,-9.03%
RNECY.US,Renesas (ADR),US,USD,12.79,11.77,-7.97%
MTCH.US,Match Group,US,USD,41.24,38.15,-7.49%
AMD.US,Advanced Micro Devices,US,USD,518.58,482.05,-7.04%
ENPH.US,Enphase Energy,US,USD,41.77,38.95,-6.75%
EOG.US,EOG Resources,US,USD,143.52,134.23,-6.47%
PRU.LSE,Prudential plc,LSE,GBX,1095.00,1025.00,-6.39%
FUJHY.US,Subaru (ADR),US,USD,8.29,7.76,-6.39%
IFX.XETRA,Infineon Technologies,XETRA,EUR,63.72,60.08,-5.71%
WDC.US,Western Digital,US,USD,548.56,519.17,-5.36%
UBER.US,Uber Technologies,US,USD,71.99,68.18,-5.29%
CVS.US,CVS Health,US,USD,104.42,99.12,-5.08%
SBAC.US,SBA Communications,US,USD,187.90,178.40,-5.06%
