Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
AAF.LSE,Airtel Africa,LSE,GBX,356.60,316.40,-11.27%
CCH.LSE,Coca-Cola HBC,LSE,GBX,4610.00,4248.00,-7.85%
WLN.PA,Worldline,PA,EUR,13.48,12.53,-7.06%
ATO.PA,Atos,PA,EUR,25.58,23.86,-6.72%
NUE.US,Nucor Corp,US,USD,265.14,248.38,-6.32%
ORA.PA,Orange,PA,EUR,15.96,15.03,-5.83%
QCOM.US,Qualcomm Inc,US,USD,188.71,177.72,-5.82%
VOW3.XETRA,Volkswagen AG,XETRA,EUR,81.04,76.52,-5.58%
BT-A.LSE,BT Group,LSE,GBX,208.20,196.85,-5.45%
STLAP.PA,Stellantis,PA,EUR,4.44,4.20,-5.43%
ARE.US,Alexandria Real Estate,US,USD,56.34,53.30,-5.40%
RNO.PA,Renault,PA,EUR,28.95,27.41,-5.32%
ENT.LSE,Entain,LSE,GBX,502.60,476.70,-5.15%
GM.US,General Motors,US,USD,86.62,82.20,-5.10%
