Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
MRAAY.US,Murata (ADR),US,USD,26.03,22.69,-12.83%
COHR.US,Coherent Corp,US,USD,351.22,306.43,-12.75%
LITE.US,Lumentum Holdings,US,USD,968.90,873.31,-9.87%
TOELY.US,Tokyo Electron (ADR),US,USD,188.85,170.24,-9.85%
STX.US,Seagate Technology,US,USD,994.79,903.68,-9.16%
CIEN.US,Ciena Corp,US,USD,445.18,405.54,-8.90%
TER.US,Teradyne Inc,US,USD,443.14,404.29,-8.77%
ATEYY.US,Advantest (ADR),US,USD,237.44,217.23,-8.51%
JBL.US,Jabil Inc,US,USD,369.89,338.62,-8.45%
GLW.US,Corning Inc,US,USD,173.21,159.90,-7.68%
STMPA.PA,STMicroelectronics,PA,EUR,49.06,45.31,-7.64%
IFX.XETRA,Infineon Technologies,XETRA,EUR,61.97,57.24,-7.63%
WDC.US,Western Digital,US,USD,536.01,496.16,-7.43%
MU.US,Micron Technology,US,USD,1011.75,940.76,-7.02%
GEV.US,GE Vernova,US,USD,1079.00,1004.53,-6.90%
APH.US,Amphenol Corp,US,USD,170.87,159.57,-6.61%
INTC.US,Intel Corp,US,USD,103.49,96.69,-6.58%
AKAM.US,Akamai Technologies,US,USD,122.97,115.20,-6.32%
PARA.US,Paramount Global,US,USD,1.45,1.36,-6.21%
MPWR.US,Monolithic Power,US,USD,1415.99,1333.18,-5.85%
TEL.US,TE Connectivity,US,USD,217.38,204.97,-5.71%
KEYS.US,Keysight Technologies,US,USD,361.15,341.00,-5.58%
NRG.US,NRG Energy,US,USD,122.37,115.56,-5.57%
FANUY.US,Fanuc (ADR),US,USD,20.35,19.25,-5.41%
KLAC.US,KLA Corp,US,USD,205.76,194.79,-5.33%
ETN.US,Eaton Corp,US,USD,455.40,431.33,-5.29%
ENR.XETRA,Siemens Energy,XETRA,EUR,162.80,154.28,-5.23%
SMCAY.US,SMC Corp (ADR),US,USD,24.26,23.03,-5.07%
