Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
COO.US,Cooper Companies,US,USD,63.48,54.17,-14.67%
ABF.LSE,Associated British Foods,LSE,GBX,2020.00,1860.00,-7.92%
PARA.US,Paramount Global,US,USD,1.06,0.98,-7.55%
BKR.US,Baker Hughes,US,USD,63.64,59.40,-6.66%
FCX.US,Freeport-McMoRan,US,USD,76.23,71.21,-6.59%
HPE.US,Hewlett Packard Enterprise,US,USD,58.90,55.22,-6.25%
FDS.US,FactSet Research,US,USD,279.17,262.93,-5.82%
ANTO.LSE,Antofagasta,LSE,GBX,3998.00,3771.00,-5.68%
LRCX.US,Lam Research,US,USD,315.84,298.01,-5.65%
INTC.US,Intel Corp,US,USD,106.24,100.32,-5.57%
LITE.US,Lumentum Holdings,US,USD,988.98,935.70,-5.39%
ORCL.US,Oracle Corp,US,USD,161.63,152.94,-5.38%
