Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
GEN.US,Gen Digital,US,USD,26.23,23.07,-12.05%
MGM.US,MGM Resorts,US,USD,37.85,33.69,-10.99%
FSLR.US,First Solar,US,USD,191.97,172.16,-10.32%
SFTBY.US,SoftBank Group (ADR),US,USD,21.16,19.56,-7.56%
PARA.US,Paramount Global,US,USD,0.89,0.82,-7.48%
RCRUY.US,Recruit Holdings (ADR),US,USD,21.93,20.31,-7.40%
AKAM.US,Akamai Technologies,US,USD,118.44,110.41,-6.78%
ROL.US,Rollins Inc,US,USD,32.49,30.40,-6.43%
ETSY.US,Etsy Inc,US,USD,73.70,68.98,-6.40%
XYL.US,Xylem Inc,US,USD,108.64,102.66,-5.50%
