Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
SHECY.US,Shin-Etsu Chemical (ADR),US,USD,21.21,18.49,-12.82%
CHRW.US,C.H. Robinson,US,USD,205.51,186.50,-9.25%
INTC.US,Intel Corp,US,USD,100.23,92.32,-7.89%
WST.US,West Pharmaceutical,US,USD,355.48,328.20,-7.67%
ATEYY.US,Advantest (ADR),US,USD,185.15,171.70,-7.26%
MU.US,Micron Technology,US,USD,990.21,920.95,-6.99%
WDC.US,Western Digital,US,USD,558.30,519.80,-6.90%
SFTBY.US,SoftBank Group (ADR),US,USD,17.55,16.36,-6.78%
STX.US,Seagate Technology,US,USD,913.36,851.69,-6.75%
TER.US,Teradyne Inc,US,USD,373.75,349.92,-6.38%
GLW.US,Corning Inc,US,USD,156.06,146.65,-6.03%
TOELY.US,Tokyo Electron (ADR),US,USD,199.58,188.09,-5.76%
ENPH.US,Enphase Energy,US,USD,38.89,36.70,-5.63%
MRNA.US,Moderna Inc,US,USD,57.02,54.07,-5.17%
