Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
LULU.US,Lululemon Athletica,US,USD,121.77,100.61,-17.38%
FICO.US,Fair Isaac Corp,US,USD,1118.93,932.26,-16.68%
ADSK.US,Autodesk Inc,US,USD,237.52,217.90,-8.26%
ADBE.US,Adobe Inc,US,USD,285.75,266.51,-6.73%
ETSY.US,Etsy Inc,US,USD,82.03,76.51,-6.73%
DSY.PA,Dassault Systemes,PA,EUR,22.48,21.02,-6.49%
EFX.US,Equifax Inc,US,USD,189.09,177.05,-6.37%
PTC.US,PTC Inc,US,USD,150.08,141.02,-6.04%
TSLA.US,Tesla Inc,US,USD,376.37,354.08,-5.92%
SNPS.US,Synopsys Inc,US,USD,416.31,393.84,-5.40%
NFLX.US,Netflix Inc,US,USD,82.67,78.25,-5.35%
