Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
PNR.US,Pentair plc,US,USD,75.68,64.33,-15.00%
PGR.US,Progressive Corp,US,USD,226.58,205.22,-9.43%
WDC.US,Western Digital,US,USD,563.32,513.84,-8.78%
ELV.US,Elevance Health,US,USD,426.79,390.33,-8.54%
MU.US,Micron Technology,US,USD,983.12,904.28,-8.02%
NTAP.US,NetApp Inc,US,USD,174.55,162.10,-7.13%
GLW.US,Corning Inc,US,USD,187.64,174.41,-7.05%
IFX.XETRA,Infineon Technologies,XETRA,EUR,71.82,67.31,-6.28%
CDW.US,CDW Corp,US,USD,139.38,130.86,-6.11%
ANET.US,Arista Networks,US,USD,182.57,171.92,-5.83%
STX.US,Seagate Technology,US,USD,878.31,828.30,-5.69%
