Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
NJDCY.US,Nidec (ADR),US,USD,4.05,2.27,-43.83%
PYPL.US,PayPal Holdings,US,USD,61.47,53.66,-12.71%
PARA.US,Paramount Global,US,USD,1.19,1.09,-8.40%
PCG.US,PG&E Corp,US,USD,17.95,16.60,-7.52%
GNRC.US,Generac Holdings,US,USD,197.29,183.80,-6.84%
LITE.US,Lumentum Holdings,US,USD,956.14,895.00,-6.39%
COHR.US,Coherent Corp,US,USD,295.39,279.20,-5.48%
CIEN.US,Ciena Corp,US,USD,399.85,378.44,-5.35%
ILMN.US,Illumina Inc,US,USD,227.69,215.59,-5.31%
LRCX.US,Lam Research,US,USD,318.58,301.90,-5.24%
ENPH.US,Enphase Energy,US,USD,39.25,37.25,-5.10%
