Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
MRAAY.US,Murata (ADR),US,USD,21.70,19.05,-12.21%
MAS.US,Masco Corp,US,USD,81.61,72.56,-11.09%
RMS.PA,Hermes International,PA,EUR,1695.50,1508.50,-11.03%
KLAC.US,KLA Corp,US,USD,190.80,170.19,-10.80%
MU.US,Micron Technology,US,USD,820.53,739.00,-9.94%
RNECY.US,Renesas (ADR),US,USD,10.59,9.55,-9.82%
SMCI.US,Super Micro Computer,US,USD,28.45,25.70,-9.67%
TOELY.US,Tokyo Electron (ADR),US,USD,165.90,150.00,-9.58%
FMC.US,FMC Corp,US,USD,10.94,10.01,-8.50%
SFTBY.US,SoftBank Group (ADR),US,USD,15.56,14.24,-8.48%
AMAT.US,Applied Materials,US,USD,476.46,436.45,-8.40%
BG.US,Bunge Ltd,US,USD,117.37,107.78,-8.17%
BLDR.US,Builders FirstSource,US,USD,73.68,67.76,-8.03%
CABK.MC,CaixaBank,MC,EUR,13.20,12.26,-7.12%
FTV.US,Fortive Corp,US,USD,64.09,59.54,-7.10%
NXPI.US,NXP Semiconductors,US,USD,259.12,240.98,-7.00%
ANET.US,Arista Networks,US,USD,169.71,157.97,-6.92%
CAT.US,Caterpillar Inc,US,USD,840.85,782.71,-6.91%
ON.US,ON Semiconductor,US,USD,84.39,78.86,-6.55%
HII.US,Huntington Ingalls,US,USD,299.90,280.40,-6.50%
LRCX.US,Lam Research,US,USD,269.61,252.35,-6.40%
ETN.US,Eaton Corp,US,USD,386.26,361.88,-6.31%
PPG.US,PPG Industries,US,USD,119.01,111.83,-6.03%
HUM.US,Humana Inc,US,USD,388.71,365.41,-5.99%
MCHP.US,Microchip Technology,US,USD,75.71,71.37,-5.73%
IFX.XETRA,Infineon Technologies,XETRA,EUR,57.77,54.48,-5.69%
CMI.US,Cummins Inc,US,USD,641.60,606.00,-5.55%
AMD.US,Advanced Micro Devices,US,USD,454.62,429.56,-5.51%
SWKS.US,Skyworks Solutions,US,USD,64.68,61.19,-5.40%
JBL.US,Jabil Inc,US,USD,302.95,287.14,-5.22%
CARR.US,Carrier Global,US,USD,63.16,59.92,-5.13%
INTC.US,Intel Corp,US,USD,86.30,81.88,-5.12%
GS.US,Goldman Sachs,US,USD,1033.34,980.75,-5.09%
