Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
STX.US,Seagate Technology,US,USD,828.30,745.49,-10.00%
MRAAY.US,Murata (ADR),US,USD,27.45,24.71,-9.98%
GLW.US,Corning Inc,US,USD,174.41,158.39,-9.19%
WDC.US,Western Digital,US,USD,513.84,466.81,-9.15%
RNECY.US,Renesas (ADR),US,USD,13.41,12.27,-8.50%
SMCI.US,Super Micro Computer,US,USD,26.89,24.68,-8.22%
MRNA.US,Moderna Inc,US,USD,68.28,63.15,-7.51%
ATEYY.US,Advantest (ADR),US,USD,188.42,174.98,-7.13%
ENPH.US,Enphase Energy,US,USD,44.05,41.08,-6.74%
ORCL.US,Oracle Corp,US,USD,132.49,124.21,-6.25%
SFTBY.US,SoftBank Group (ADR),US,USD,18.93,17.76,-6.18%
ABBN.SW,ABB Ltd,SW,CHF,83.18,78.26,-5.91%
INTC.US,Intel Corp,US,USD,102.99,96.98,-5.84%
TER.US,Teradyne Inc,US,USD,342.12,322.30,-5.79%
MU.US,Micron Technology,US,USD,904.28,853.20,-5.65%
SHECY.US,Shin-Etsu Chemical (ADR),US,USD,23.40,22.10,-5.56%
AMD.US,Advanced Micro Devices,US,USD,529.14,500.94,-5.33%
FSLR.US,First Solar,US,USD,223.82,211.93,-5.31%
MCHP.US,Microchip Technology,US,USD,86.26,81.68,-5.31%
HUM.US,Humana Inc,US,USD,407.78,386.48,-5.22%
AVGO.US,Broadcom Inc,US,USD,394.28,374.45,-5.03%
