Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
STX.US,Seagate Technology,US,USD,903.68,832.56,-7.87%
STLD.US,Steel Dynamics,US,USD,249.81,231.01,-7.53%
WDC.US,Western Digital,US,USD,496.16,462.09,-6.87%
LRCX.US,Lam Research,US,USD,327.92,307.17,-6.33%
KEYS.US,Keysight Technologies,US,USD,341.00,319.45,-6.32%
COHR.US,Coherent Corp,US,USD,306.43,287.47,-6.19%
TER.US,Teradyne Inc,US,USD,404.29,379.65,-6.09%
NUE.US,Nucor Corp,US,USD,264.19,248.74,-5.85%
CRWD.US,CrowdStrike Holdings,US,USD,212.92,201.63,-5.30%
LITE.US,Lumentum Holdings,US,USD,873.31,827.60,-5.23%
MUFG.US,Mitsubishi UFJ (ADR),US,USD,22.72,21.56,-5.11%
DDOG.US,Datadog,US,USD,246.00,233.52,-5.07%
SFTBY.US,SoftBank Group (ADR),US,USD,17.47,16.59,-5.04%
GE.US,General Electric,US,USD,375.09,356.23,-5.03%
NTAP.US,NetApp Inc,US,USD,204.71,194.48,-5.00%
