Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
JBHT.US,J.B. Hunt Transport,US,USD,273.05,236.73,-13.30%
ON.US,ON Semiconductor,US,USD,73.20,66.60,-9.02%
FANG.US,Diamondback Energy,US,USD,211.53,194.54,-8.03%
OXY.US,Occidental Petroleum,US,USD,63.52,59.36,-6.55%
COP.US,ConocoPhillips,US,USD,141.22,132.54,-6.15%
EOG.US,EOG Resources,US,USD,153.74,144.93,-5.73%
DVN.US,Devon Energy,US,USD,51.33,48.44,-5.63%
FSLR.US,First Solar,US,USD,202.34,191.07,-5.57%
HBAN.US,Huntington Bancshares,US,USD,16.75,15.82,-5.55%
APA.US,APA Corp,US,USD,47.41,44.79,-5.53%
BZZUY.US,Buzzi (ADR),US,USD,22.95,21.71,-5.40%
EPAM.US,EPAM Systems,US,USD,123.51,117.17,-5.13%
EQT.US,EQT Corp,US,USD,53.12,50.41,-5.10%
