Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
PARA.US,Paramount Global,US,USD,1.30,1.20,-7.69%
STX.US,Seagate Technology,US,USD,850.00,794.65,-6.51%
CIEN.US,Ciena Corp,US,USD,395.79,371.95,-6.02%
MU.US,Micron Technology,US,USD,966.78,910.43,-5.83%
JBHT.US,J.B. Hunt Transport,US,USD,275.45,259.88,-5.65%
SMCI.US,Super Micro Computer,US,USD,37.24,35.17,-5.56%
WDC.US,Western Digital,US,USD,459.44,435.38,-5.24%
PRYMY.US,Prysmian (ADR),US,USD,72.43,68.65,-5.22%
BWA.US,BorgWarner Inc,US,USD,67.78,64.36,-5.05%
