Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
EPAM.US,EPAM Systems,US,USD,109.87,93.07,-15.29%
AXON.US,Axon Enterprise,US,USD,609.49,522.46,-14.28%
WDC.US,Western Digital,US,USD,519.17,451.52,-13.03%
FUJIY.US,Fujifilm (ADR),US,USD,12.06,11.00,-8.79%
VTRS.US,Viatris Inc,US,USD,17.65,16.29,-7.71%
HST.US,Host Hotels,US,USD,25.13,23.38,-6.96%
TS.US,Tenaris (NYSE),US,USD,57.05,53.40,-6.40%
G24.XETRA,Scout24,XETRA,EUR,76.40,71.80,-6.02%
MRAAY.US,Murata (ADR),US,USD,24.99,23.53,-5.84%
FICO.US,Fair Isaac Corp,US,USD,1091.55,1031.89,-5.47%
BBY.US,Best Buy Co,US,USD,84.50,80.02,-5.30%
