ticker,name,exchange,index
MBG.XETRA,Mercedes-Benz Group,XETRA,DAX 40
MRK.XETRA,Merck KGaA,XETRA,DAX 40
MTX.XETRA,MTU Aero Engines,XETRA,DAX 40
MUV2.XETRA,Munich Re,XETRA,DAX 40
P911.XETRA,Porsche AG,XETRA,DAX 40
PAH3.XETRA,Porsche Automobil Holding,XETRA,DAX 40
QIA.XETRA,Qiagen NV,XETRA,DAX 40
RHM.XETRA,Rheinmetall AG,XETRA,DAX 40
RWE.XETRA,RWE AG,XETRA,DAX 40
SAP.XETRA,SAP SE,XETRA,DAX 40
SHL.XETRA,Siemens Healthineers,XETRA,DAX 40
SIE.XETRA,Siemens AG,XETRA,DAX 40
SRT3.XETRA,Sartorius AG,XETRA,DAX 40
SY1.XETRA,Symrise AG,XETRA,DAX 40
VNA.XETRA,Vonovia SE,XETRA,DAX 40
VOW3.XETRA,Volkswagen AG,XETRA,DAX 40
ZAL.XETRA,Zalando SE,XETRA,DAX 40
AC.PA,Accor,PA,CAC 40
ACA.PA,Credit Agricole,PA,CAC 40
AI.PA,Air Liquide,PA,CAC 40
AIR.PA,Airbus SE,PA,CAC 40
ALO.PA,Alstom,PA,CAC 40
ATO.PA,Atos,PA,CAC 40
BN.PA,Danone,PA,CAC 40
BNP.PA,BNP Paribas,PA,CAC 40
CA.PA,Carrefour,PA,CAC 40
CAP.PA,Capgemini,PA,CAC 40
CS.PA,AXA,PA,CAC 40
DG.PA,Vinci,PA,CAC 40
DSY.PA,Dassault Systemes,PA,CAC 40
EL.PA,EssilorLuxottica,PA,CAC 40
EN.PA,Bouygues,PA,CAC 40
ENGI.PA,Engie,PA,CAC 40
ERF.PA,Eurofins Scientific,PA,CAC 40
GLE.PA,Societe Generale,PA,CAC 40
HO.PA,Thales,PA,CAC 40
KER.PA,Kering,PA,CAC 40
LR.PA,Legrand,PA,CAC 40
MC.PA,LVMH,PA,CAC 40
ML.PA,Michelin,PA,CAC 40
MT.PA,ArcelorMittal,PA,CAC 40
OR.PA,L'Oreal,PA,CAC 40
ORA.PA,Orange,PA,CAC 40
PUB.PA,Publicis Groupe,PA,CAC 40
RI.PA,Pernod Ricard,PA,CAC 40
RMS.PA,Hermes International,PA,CAC 40
SAF.PA,Safran,PA,CAC 40
SAN.PA,Sanofi,PA,CAC 40
SGO.PA,Saint-Gobain,PA,CAC 40
STM.PA,STMicroelectronics,PA,CAC 40
STMPA.PA,STMicroelectronics,PA,CAC 40
SU.PA,Schneider Electric,PA,CAC 40
TEP.PA,Teleperformance,PA,CAC 40
TTE.PA,TotalEnergies,PA,CAC 40
URW.PA,Unibail-Rodamco-Westfield,PA,CAC 40
VIE.PA,Veolia Environnement,PA,CAC 40
VIV.PA,Vivendi,PA,CAC 40
WLN.PA,Worldline,PA,CAC 40
ACS.MC,ACS,MC,IBEX 35
ACX.MC,Acerinox,MC,IBEX 35
AENA.MC,Aena,MC,IBEX 35
AMS.MC,Amadeus IT,MC,IBEX 35
ANA.MC,Acciona,MC,IBEX 35
ANE.MC,Acciona Energia,MC,IBEX 35
BBVA.MC,BBVA,MC,IBEX 35
BKT.MC,Bankinter,MC,IBEX 35
CABK.MC,CaixaBank,MC,IBEX 35
CIE.MC,CIE Automotive,MC,IBEX 35
CLNX.MC,Cellnex Telecom,MC,IBEX 35
COL.MC,Inmobiliaria Colonial,MC,IBEX 35
ELE.MC,Endesa,MC,IBEX 35
ENG.MC,Enagas,MC,IBEX 35
FDR.MC,Fluidra,MC,IBEX 35
FER.MC,Ferrovial,MC,IBEX 35
GRF.MC,Grifols,MC,IBEX 35
IAG.MC,IAG,MC,IBEX 35
IBE.MC,Iberdrola,MC,IBEX 35
IDR.MC,Indra Sistemas,MC,IBEX 35
ITX.MC,Inditex,MC,IBEX 35
LOG.MC,Logista,MC,IBEX 35
MAP.MC,Mapfre,MC,IBEX 35
MEL.MC,Melia Hotels,MC,IBEX 35
MRL.MC,Merlin Properties,MC,IBEX 35
MTS.MC,ArcelorMittal,MC,IBEX 35
NTGY.MC,Naturgy Energy,MC,IBEX 35
PHM.MC,Pharma Mar,MC,IBEX 35
RED.MC,Redeia,MC,IBEX 35
REP.MC,Repsol,MC,IBEX 35
ROVI.MC,Laboratorios Rovi,MC,IBEX 35
SAB.MC,Banco Sabadell,MC,IBEX 35
SAN.MC,Banco Santander,MC,IBEX 35
SCYR.MC,Sacyr,MC,IBEX 35
SOL.MC,Solaria Energia,MC,IBEX 35
TEF.MC,Telefonica,MC,IBEX 35
UNI.MC,Unicaja Banco,MC,IBEX 35
VIS.MC,Viscofan,MC,IBEX 35
AD.AS,Ahold Delhaize,AS,EuroStoxx 50
ASML.AS,ASML Holding,AS,EuroStoxx 50
INGA.AS,ING Group,AS,EuroStoxx 50
PHIA.AS,Philips,AS,EuroStoxx 50
PRX.AS,Prosus,AS,EuroStoxx 50
HEIA.AS,Heineken,AS,EuroStoxx 50
WKL.AS,Wolters Kluwer,AS,EuroStoxx 50
DSM.AS,DSM-Firmenich,AS,EuroStoxx 50
UNA.AS,Unilever NV,AS,EuroStoxx 50
ABN.AS,ABN AMRO,AS,EuroStoxx 50
NESN.SW,Nestle,SW,EuroStoxx 50
NOVN.SW,Novartis,SW,EuroStoxx 50
ROG.SW,Roche Holding,SW,EuroStoxx 50
UBSG.SW,UBS Group,SW,EuroStoxx 50
ZURN.SW,Zurich Insurance,SW,EuroStoxx 50
CSGN.SW,Credit Suisse,SW,EuroStoxx 50
ABBN.SW,ABB Ltd,SW,EuroStoxx 50
SREN.SW,Swiss Re,SW,EuroStoxx 50
LONN.SW,Lonza Group,SW,EuroStoxx 50
GEBN.SW,Geberit,SW,EuroStoxx 50
